Name	FC	PValue
Harryflintia_acetispora	-0.584205103	0.564134823
Faecalitalea_cylindroides	-5.441974472	0.574955422
Streptococcus_pasteurianus	-3.798229542	0.58532892
Streptococcus_sp_A12	-5.241817689	0.58532892
Clostridium_sp_chh4_2	-2.250993	0.58532892
Eubacterium_limosum	-3.997669693	0.58532892
Citrobacter_werkmanii	-3.200464985	0.58532892
Klebsiella_michiganensis	-2.131447811	0.58532892
Ruminococcus_bromii	0.267073864	0.594960818
Prevotella_disiens	-0.126137168	0.597650626
Alistipes_inops	0.840567551	0.597650626
Lactobacillus_rogosae	0.388688692	0.597650626
Eisenbergiella_massiliensis	0.375026273	0.60352638
Streptococcus_parasanguinis	-0.115414857	0.613670486
Blautia_obeum	0.691125245	0.626296291
Dorea_longicatena	-0.248090813	0.626853894
Prevotella_copri	-0.129510914	0.62877166
Bifidobacterium_pseudocatenulatum	-1.634777797	0.641520452
Clostridium_symbiosum	3.067539781	0.644840346
Streptococcus_anginosus_group	0.708420101	0.655298016
Streptococcus_australis	-0.444423527	0.655298016
Streptococcus_thermophilus	-0.931294296	0.655298016
Lactonifactor_longoviformis	3.326651841	0.655298016
Monoglobus_pectinilyticus	0.785227429	0.655298016
Roseburia_sp_CAG_309	0.360443511	0.655298016
Ruminococcus_sp_CAG_488	3.921570092	0.655298016
Citrobacter_freundii	1.888804471	0.655298016
Citrobacter_youngae	4.640116875	0.655298016
Faecalibacterium_prausnitzii	0.179183309	0.657255169
Actinomyces_sp_oral_taxon_181	0.583163993	0.6679754
Coprococcus_eutactus	-0.180133404	0.680386114
Veillonella_parvula	2.971699169	0.680386114
Cloacibacillus_porcorum	1.207707622	0.680386114
Bacteroides_stercoris	0.18874063	0.681322654
Erysipelatoclostridium_ramosum	0.952966613	0.702701585
Dielma_fastidiosa	-0.619297681	0.712196597
Ruminococcus_torques	1.369865238	0.713297056
Alistipes_shahii	1.025633722	0.714873809
Odoribacter_splanchnicus	0.447876941	0.716144724
Anaerotruncus_colihominis	1.148426417	0.716144724
Roseburia_inulinivorans	-0.49330523	0.718909256
Parabacteroides_distasonis	-0.992577005	0.719452539
Clostridium_clostridioforme	0.681577931	0.729174327
Bacteroides_caccae	0.194639749	0.730974888
Bacteroides_plebeius	0.030324247	0.732966518
Lawsonibacter_asaccharolyticus	0.796654152	0.749925745
Bilophila_wadsworthia	-0.015451764	0.751294559
Olsenella_scatoligenes	-1.49441714	0.762586033
Butyricimonas_synergistica	1.128036423	0.763792719
Haemophilus_parainfluenzae	0.694526694	0.76694205
Bacteroides_eggerthii	-0.34597161	0.791135421
Rothia_mucilaginosa	-0.104452032	0.7996265
[Collinsella]_massiliensis	1.313995525	0.7996265
Bacteroides_galacturonicus	1.138208436	0.7996265
Lachnoclostridium_sp_An131	0.386709918	0.7996265
Coprobacter_secundus	1.134383568	0.804783024
Clostridium_bolteae_CAG_59	-4.243949616	0.804783024
Collinsella_intestinalis	2.125449786	0.828454302
Turicimonas_muris	1.105800166	0.829850644
Firmicutes_bacterium_CAG_94	-1.18987143	0.83022202
Desulfovibrio_piger	0.158656819	0.839944836
Bacteroides_intestinalis	0.282922881	0.8433999
Bifidobacterium_adolescentis	0.729798469	0.846642729
Bacteroides_xylanisolvens	0.069464458	0.849123865
Bifidobacterium_dentium	-1.005040028	0.856126213
Enorma_massiliensis	-7.257199028	0.856126213
Slackia_isoflavoniconvertens	-0.917656506	0.856126213
Streptococcus_infantis	-1.252929532	0.856126213
Parasutterella_excrementihominis	0.187219319	0.865638148
Eggerthella_lenta	-0.794409194	0.879742705
Firmicutes_bacterium_CAG_83	-0.089374205	0.882408346
Agathobaculum_butyriciproducens	-0.320299615	0.882420114
Streptococcus_oralis	-0.00751417	0.88529514
Anaeromassilibacillus_sp_An250	0.014851865	0.891447503
Gemmiger_formicilis	-0.162782315	0.89825941
Clostridium_asparagiforme	-0.038115172	0.910691938
Roseburia_hominis	0.206041434	0.914831897
Gordonibacter_pamelaeae	-0.441940947	0.915387366
Bacteroides_clarus	1.165961293	0.916056693
Bifidobacterium_bifidum	0.858924291	0.931024428
Adlercreutzia_equolifaciens	0.054627161	0.931500401
Alistipes_putredinis	0.26275345	0.931500401
Clostridium_citroniae	1.563812323	0.931500401
Eubacterium_rectale	-0.761068657	0.932408307
Tyzzerella_nexilis	-0.92271926	0.934366641
Holdemanella_biformis	-1.650464942	0.934366641
Fusobacterium_ulcerans	-5.545287425	0.934366641
Coprobacter_fastidiosus	0.979947363	0.939152396
Bacteroides_ovatus	0.704213316	0.949438317
Megamonas_funiformis	0.215061257	0.957970074
Oxalobacter_formigenes	0.230552417	0.960603559
Christensenella_minuta	-1.556670929	0.963715994
Bacteroides_massiliensis	0.045760316	0.964633083
Clostridium_bolteae	-1.797648094	0.966004333
Firmicutes_bacterium_CAG_95	0.893952441	0.975563839
Phascolarctobacterium_sp_CAG_266	0.460176297	0.975563839
Klebsiella_aerogenes	-0.375693255	0.975563839
Acidaminococcus_intestini	1.414610153	0.978090913
Asaccharobacter_celatus	0.140378035	0.982102428
Eubacterium_ventriosum	0.36599276	0.983108782
Bacteroides_uniformis	0.278460714	0.983142866
Actinomyces_europaeus	0.0001	0.99999
Actinomyces_meyeri	0.0001	0.99999
Actinomyces_oris	0.0001	0.99999
Actinomyces_sp_HMSC035G02	0.0001	0.99999
Actinomyces_sp_HPA0247	0.0001	0.99999
Actinomyces_sp_oral_taxon_414	0.0001	0.99999
Actinomyces_sp_oral_taxon_448	0.0001	0.99999
Actinomyces_sp_oral_taxon_897	0.0001	0.99999
Actinomyces_viscosus	0.0001	0.99999
Actinotignum_schaalii	0.0001	0.99999
Varibaculum_cambriense	0.0001	0.99999
Alloscardovia_omnicolens	0.0001	0.99999
Bifidobacterium_animalis	0.0001	0.99999
Bifidobacterium_pseudolongum	0.0001	0.99999
Parascardovia_denticolens	0.0001	0.99999
Scardovia_wiggsiae	0.0001	0.99999
Corynebacterium_argentoratense	0.0001	0.99999
Corynebacterium_durum	0.0001	0.99999
Lawsonella_clevelandensis	0.0001	0.99999
Mycobacterium_orygis	0.0001	0.99999
Rothia_aeria	0.0001	0.99999
Rothia_dentocariosa	0.0001	0.99999
Propionibacterium_acidifaciens	0.0001	0.99999
Atopobium_minutum	0.0001	0.99999
Atopobium_rimae	0.0001	0.99999
Slackia_exigua	0.0001	0.99999
Bacteroidetes_bacterium_oral_taxon_272	0.0001	0.99999
Bacteroides_faecis	2.958160463	0.99999
Bacteroides_faecis_CAG_32	0.0001	0.99999
Bacteroides_fluxus	0.0001	0.99999
Bacteroides_oleiciplenus	0.0001	0.99999
Bacteroides_sp_43_108	0.0001	0.99999
Bacteroides_sp_CAG_462	0.0001	0.99999
Bacteroides_sp_CAG_633	0.0001	0.99999
Bacteroides_sp_CAG_661	0.0001	0.99999
Bacteroides_stercorirosoris	0.0001	0.99999
Bacteroidales_bacterium_KA00251	0.0001	0.99999
Barnesiella_intestinihominis	0.079599885	0.99999
Barnesiella_sp_An22	0.0001	0.99999
Barnesiella_sp_An55	0.0001	0.99999
Porphyromonas_endodontalis	0.0001	0.99999
Porphyromonas_gingivalis	0.0001	0.99999
Alloprevotella_tannerae	0.0001	0.99999
Prevotella_colorans	0.0001	0.99999
Prevotella_corporis	0.0001	0.99999
Prevotella_nigrescens	0.0001	0.99999
Prevotella_sp_885	0.0001	0.99999
Prevotella_sp_AM42_24	0.0001	0.99999
Prevotella_sp_CAG_1058	0.0001	0.99999
Prevotella_sp_CAG_1092	0.0001	0.99999
Prevotella_sp_CAG_1124	0.0001	0.99999
Prevotella_sp_CAG_1185	0.0001	0.99999
Prevotella_sp_CAG_1320	0.0001	0.99999
Prevotella_sp_CAG_485	0.0001	0.99999
Prevotella_sp_CAG_520	0.0001	0.99999
Prevotella_sp_CAG_5226	0.0001	0.99999
Prevotella_sp_CAG_617	0.0001	0.99999
Prevotella_sp_CAG_873	0.0001	0.99999
Prevotella_sp_CAG_891	0.0001	0.99999
Prevotella_sp_S7_1_8	0.0001	0.99999
Parabacteroides_chinchillae	0.0001	0.99999
Parabacteroides_sp_426_9	2.29199447	0.99999
Chryseobacterium_indologenes	0.0001	0.99999
Candidatus_Gastranaerophilales_bacterium	0.0001	0.99999
Gemella_haemolysans	0.0001	0.99999
Gemella_morbillorum	0.0001	0.99999
Listeria_monocytogenes	0.0001	0.99999
Paenibacillus_polymyxa	0.0001	0.99999
Staphylococcus_argenteus	0.0001	0.99999
Abiotrophia_defectiva	0.0001	0.99999
Abiotrophia_sp_HMSC24B09	0.0001	0.99999
Carnobacterium_divergens	0.0001	0.99999
Enterococcus_asini	0.0001	0.99999
Enterococcus_avium	0.0001	0.99999
Enterococcus_hirae	0.0001	0.99999
Enterococcus_italicus	0.0001	0.99999
Melissococcus_sp_OM08_11BH	0.0001	0.99999
Lactobacillus_amylovorus	0.0001	0.99999
Lactobacillus_curvatus	0.0001	0.99999
Lactobacillus_delbrueckii	0.0001	0.99999
Lactobacillus_farciminis	0.0001	0.99999
Lactobacillus_fermentum	0.0001	0.99999
Lactobacillus_gallinarum	0.0001	0.99999
Lactobacillus_helveticus	0.0001	0.99999
Lactobacillus_johnsonii	0.0001	0.99999
Lactobacillus_pentosus	0.0001	0.99999
Lactobacillus_plantarum	0.0001	0.99999
Lactobacillus_pontis	0.0001	0.99999
Lactobacillus_reuteri	0.0001	0.99999
Lactobacillus_rhamnosus	0.0001	0.99999
Lactobacillus_sakei	0.0001	0.99999
Lactobacillus_sanfranciscensis	0.0001	0.99999
Pediococcus_acidilactici	0.0001	0.99999
Leuconostoc_citreum	0.0001	0.99999
Leuconostoc_gelidum	0.0001	0.99999
Leuconostoc_lactis	0.0001	0.99999
Leuconostoc_mesenteroides	0.0001	0.99999
Weissella_confusa	0.327053654	0.99999
Lactococcus_piscium	0.0001	0.99999
Lactococcus_raffinolactis	0.0001	0.99999
Streptococcus_agalactiae	0.0001	0.99999
Streptococcus_cristatus	0.0001	0.99999
Streptococcus_gallolyticus	0.0001	0.99999
Streptococcus_infantarius	0.0001	0.99999
Streptococcus_lutetiensis	0.0001	0.99999
Streptococcus_macedonicus	0.0001	0.99999
Streptococcus_milleri	0.0001	0.99999
Streptococcus_mutans	0.0001	0.99999
Streptococcus_salivarius_CAG_79	0.0001	0.99999
Streptococcus_sobrinus	0.0001	0.99999
Streptococcus_sp_F0442	0.0001	0.99999
Streptococcus_sp_HMSC070B10	0.0001	0.99999
Streptococcus_sp_HPH0090	0.0001	0.99999
Streptococcus_sp_M334	0.0001	0.99999
Streptococcus_suis	0.0001	0.99999
Streptococcus_viridans	0.0001	0.99999
Butyricicoccus_pullicaecorum	0.0001	0.99999
Clostridium_butyricum	0.0001	0.99999
Clostridium_celatum	0.0001	0.99999
Clostridium_neonatale	0.0001	0.99999
Clostridium_paraputrificum	0.0001	0.99999
Clostridium_perfringens	0.0001	0.99999
Clostridium_sp_7_2_43FAA	0.0001	0.99999
Clostridium_sp_CAG_510	0.0001	0.99999
Clostridium_sp_CAG_678	0.0001	0.99999
Clostridium_sp_CAG_964	0.0001	0.99999
Clostridium_ventriculi	0.0001	0.99999
Hungatella_effluvii	0.0001	0.99999
Eubacterium_brachy	0.0001	0.99999
Eubacterium_infirmum	0.0001	0.99999
Eubacterium_sulci	0.0001	0.99999
Bacteroides_pectinophilus	0.0001	0.99999
Clostridiales_bacterium_CHKCI006	0.0001	0.99999
Anaerofustis_stercorihominis	0.0001	0.99999
Eubacterium_maltosivorans	0.0001	0.99999
Eubacterium_sp_CAG_274	1.717003991	0.99999
Mageeibacillus_indolicus	0.0001	0.99999
Anaerostipes_caccae	0.0001	0.99999
Blautia_producta	0.94544145	0.99999
Butyrivibrio_sp_CAG_318	0.0001	0.99999
Catonella_morbi	0.0001	0.99999
Cellulosilyticum_lentocellum	0.0001	0.99999
Coprococcus_catus	0.241256263	0.99999
Dorea_sp_CAG_317	0.0001	0.99999
Dorea_sp_D27	0.0001	0.99999
Clostridium_hylemonae	0.0001	0.99999
Clostridium_scindens	1.786701738	0.99999
Lachnoclostridium_sp_An14	0.0001	0.99999
Lachnoclostridium_sp_An181	0.0001	0.99999
Lachnospiraceae_bacterium_10_1	0.0001	0.99999
Lachnospiraceae_bacterium_2_1_46FAA	0.0001	0.99999
Lachnospiraceae_bacterium_oral_taxon_096	0.0001	0.99999
Oribacterium_sinus	0.0001	0.99999
Roseburia_sp_CAG_182	0.0001	0.99999
Roseburia_sp_CAG_471	2.26528869	0.99999
Oscillibacter_sp_PC13	0.0001	0.99999
Clostridioides_difficile	0.0001	0.99999
Paraclostridium_bifermentans	0.0001	0.99999
Clostridium_hiranonis	0.0001	0.99999
Peptostreptococcus_anaerobius	0.0001	0.99999
Peptostreptococcus_stomatis	0.0001	0.99999
Anaeromassilibacillus_sp_An172	0.0001	0.99999
Anaerotruncus_sp_CAG_528	0.0001	0.99999
Gemmiger_sp_An194	0.0001	0.99999
Gemmiger_sp_An50	0.0001	0.99999
Gemmiger_sp_An87	0.0001	0.99999
Ruminococcaceae_bacterium_D16	3.681872351	0.99999
Ruminococcus_champanellensis	0.0001	0.99999
Ruminococcus_sp_CAG_403	0.0001	0.99999
Ruminococcus_sp_CAG_579	0.0001	0.99999
Bulleidia_extructa	0.0001	0.99999
Candidatus_Stoquefichus_sp_KLE1796	0.0001	0.99999
Massiliomicrobiota_timonensis	-0.422820602	0.99999
Firmicutes_bacterium_CAG_424	0.0001	0.99999
Firmicutes_bacterium_CAG_555	0.0001	0.99999
Firmicutes_bacterium_CAG_646	0.0001	0.99999
Firmicutes_bacterium_CAG_791	0.0001	0.99999
Acidaminococcus_fermentans	0.0001	0.99999
Acidaminococcus_sp_CAG_542	0.0001	0.99999
Phascolarctobacterium_succinatutens	0.0001	0.99999
Megamonas_funiformis_CAG_377	0.0001	0.99999
Megamonas_hypermegale	0.671417442	0.99999
Megamonas_rupellensis	1.046668273	0.99999
Mitsuokella_jalaludinii	0.0001	0.99999
Mitsuokella_sp_oral_taxon_131	0.0001	0.99999
Selenomonas_noxia	0.0001	0.99999
Anaeroglobus_geminatus	0.0001	0.99999
Dialister_succinatiphilus	0.0001	0.99999
Megasphaera_cerevisiae	0.0001	0.99999
Megasphaera_hexanoica	0.0001	0.99999
Megasphaera_micronuciformis	0.0001	0.99999
Megasphaera_stantonii	0.0001	0.99999
Negativicoccus_succinicivorans	0.0001	0.99999
Veillonella_atypica	0.390010759	0.99999
Veillonella_denticariosi	0.0001	0.99999
Veillonella_dispar	1.019117764	0.99999
Veillonella_rodentium	0.0001	0.99999
Veillonella_seminalis	0.0001	0.99999
Veillonella_tobetsuensis	0.0001	0.99999
Anaerococcus_vaginalis	0.0001	0.99999
Finegoldia_magna	0.0001	0.99999
Parvimonas_sp_oral_taxon_110	0.0001	0.99999
Peptoniphilus_harei	0.0001	0.99999
Peptoniphilus_lacrimalis	0.0001	0.99999
Fusobacterium_equinum	0.0001	0.99999
Fusobacterium_gonidiaformans	0.0001	0.99999
Fusobacterium_nucleatum	0.0001	0.99999
Fusobacterium_periodonticum	0.0001	0.99999
Thioclava_marina	0.0001	0.99999
Sphingomonas_melonis	0.0001	0.99999
Sphingomonas_sp_FARSPH	0.0001	0.99999
Lautropia_mirabilis	0.0001	0.99999
Eikenella_corrodens	0.0001	0.99999
Neisseria_flavescens	0.0001	0.99999
Neisseria_subflava	0.0001	0.99999
Desulfovibrio_legallii	0.0001	0.99999
Campylobacter_coli	0.0001	0.99999
Campylobacter_concisus	0.0001	0.99999
Campylobacter_gracilis	0.0001	0.99999
Campylobacter_ureolyticus	0.0001	0.99999
Sulfurospirillum_sp_UBA12182	0.0001	0.99999
Aeromonas_caviae	0.0001	0.99999
Aeromonas_dhakensis	0.0001	0.99999
Aeromonas_media	0.0001	0.99999
Aeromonas_veronii	0.0001	0.99999
Succinatimonas_hippei	0.0001	0.99999
Cardiobacterium_valvarum	0.0001	0.99999
Plesiomonas_shigelloides	0.0001	0.99999
Atlantibacter_hermannii	0.0001	0.99999
Citrobacter_amalonaticus	0.0001	0.99999
Citrobacter_braakii	0.0001	0.99999
Citrobacter_europaeus	0.0001	0.99999
Citrobacter_koseri	0.0001	0.99999
Citrobacter_pasteurii	0.0001	0.99999
Cronobacter_malonaticus	0.0001	0.99999
Cronobacter_sakazakii	0.0001	0.99999
Escherichia_albertii	0.0001	0.99999
Escherichia_fergusonii	0.0001	0.99999
Kluyvera_cryocrescens	0.0001	0.99999
Kosakonia_sacchari	0.0001	0.99999
